# Data taken with Python For the Lab (MC version)
# Scan folder: AOFT_freq_to_wavelength_calibration_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 10us int time) 
# Fourth col: Spectral width in nm 
70.30000 804.62344 1292.00000 1.01212
70.31000 804.51253 1320.33300 1.07339
70.32000 804.37582 1299.00000 1.04816
70.33000 804.38678 1251.66700 1.08737
70.34000 804.27286 1311.33300 1.03575
70.35000 804.19452 1256.33300 1.10693
70.36000 804.01255 1194.66700 1.10622
70.37000 803.96939 1220.33300 1.05411
70.38000 803.86527 1206.33300 1.11484
70.39000 803.83485 1223.33300 1.09530
70.40000 803.65819 1204.33300 1.14367
70.41000 803.56816 1221.00000 1.10671
70.42000 803.46370 1214.66700 1.18459
70.43000 803.36803 1206.00000 1.11334
70.44000 803.28396 1183.33300 1.22571
70.45000 803.07711 1140.33300 1.18744
70.46000 803.00989 1152.66700 1.18998
70.47000 802.86338 1157.00000 1.19761
70.48000 802.75856 1191.33300 1.16534
70.49000 802.65268 1226.33300 1.12619
70.50000 802.52119 1220.33300 1.13443
70.51000 802.46764 1162.66700 1.17082
70.52000 802.34025 1221.66700 1.09314
70.53000 802.17339 1258.33300 1.05325
70.54000 802.13322 1209.33300 1.11706
70.55000 802.03720 1242.66700 1.04957
70.56000 801.95043 1234.66700 1.07623
70.57000 801.89649 1281.33300 1.02806
70.58000 801.76404 1262.33300 1.03018
70.59000 801.69144 1316.00000 1.03002
70.60000 801.55957 1290.00000 1.01448
70.61000 801.59343 1315.00000 1.01068
70.62000 801.49673 1290.00000 1.06205
70.63000 801.34996 1273.66700 1.11589
70.64000 801.22502 1252.33300 1.05767
70.65000 801.13762 1213.00000 1.16104
70.66000 801.05565 1213.66700 1.20412
70.67000 800.96809 1192.66700 1.19355
70.68000 800.76161 1132.33300 1.25973
70.69000 800.68661 1151.00000 1.24532
70.70000 800.59560 1205.33300 1.22167
70.71000 800.46025 1126.00000 1.31632
70.72000 800.33848 1199.33300 1.23122
70.73000 800.16987 1224.00000 1.22639
70.74000 800.09324 1236.66700 1.14340
70.75000 799.91815 1262.66700 1.11605
70.76000 799.86845 1275.66700 1.14024
70.77000 799.76592 1311.00000 1.04275
70.78000 799.73677 1356.00000 1.02307
70.79000 799.60074 1295.33300 1.08460
70.80000 799.52580 1347.00000 1.02919
70.81000 799.41309 1354.66700 1.05387
70.82000 799.33208 1353.33300 1.03172
70.83000 799.25454 1339.66700 1.07364
70.84000 799.14105 1330.00000 1.00327
70.85000 799.06366 1307.66700 1.06409
70.86000 799.06142 1345.00000 1.05635
70.87000 798.87839 1275.33300 1.16939
70.88000 798.71791 1316.00000 1.09673
70.89000 798.63448 1286.66700 1.19023
70.90000 798.55927 1287.00000 1.14918
70.91000 798.46951 1250.66700 1.23514
70.92000 798.30872 1281.33300 1.17664
70.93000 798.18865 1321.00000 1.15412
70.94000 798.04079 1315.66700 1.20329
70.95000 797.99273 1333.66700 1.16024
70.96000 797.82552 1377.66700 1.16690
70.97000 797.72787 1380.33300 1.06152
70.98000 797.66542 1467.33300 1.07779
70.99000 797.52219 1442.33300 1.04688
71.00000 797.39165 1477.33300 1.05828
71.01000 797.33617 1409.33300 0.98775
71.02000 797.31298 1492.00000 1.01650
71.03000 797.15594 1494.33300 1.02562
71.04000 797.06979 1476.00000 1.08250
71.05000 797.00558 1581.00000 1.00153
71.06000 796.91891 1614.00000 0.97650
71.07000 796.84606 1564.66700 1.03648
71.08000 796.77589 1615.33300 0.96203
71.09000 796.68185 1569.66700 1.02910
71.10000 796.63160 1627.66700 1.01908
71.11000 796.50645 1629.33300 0.99753
71.12000 796.48220 1610.33300 0.98594
71.13000 796.35636 1611.00000 0.98780
71.14000 796.25589 1558.00000 1.01723
71.15000 796.23290 1619.66700 0.98431
71.16000 796.17447 1626.33300 0.97980
71.17000 796.04730 1606.33300 0.99735
71.18000 795.95940 1599.33300 0.99907
71.19000 795.90585 1590.66700 1.01532
71.20000 795.82522 1568.33300 1.02300
71.21000 795.69355 1523.00000 1.05075
71.22000 795.66395 1558.33300 1.05117
71.23000 795.48731 1480.66700 1.07340
71.24000 795.45296 1518.00000 1.10408
71.25000 795.37484 1447.66700 1.11746
71.26000 795.18990 1401.33300 1.13076
71.27000 795.09785 1430.66700 1.16389
71.28000 794.98786 1413.00000 1.18881
71.29000 794.78070 1349.33300 1.19796
71.30000 794.67168 1319.00000 1.21058
71.31000 794.54250 1365.00000 1.24679
71.32000 794.37783 1362.00000 1.22479
71.33000 794.28907 1384.00000 1.21439
71.34000 794.14730 1424.00000 1.18248
71.35000 794.00307 1433.66700 1.20153
71.36000 793.86099 1498.33300 1.12236
71.37000 793.80924 1475.00000 1.14013
71.38000 793.62652 1526.66700 1.09698
71.39000 793.63582 1526.33300 1.08316
71.40000 793.52515 1594.00000 1.03941
71.41000 793.38637 1657.33300 0.98334
71.42000 793.31385 1625.33300 1.01887
71.43000 793.27671 1633.33300 1.03507
71.44000 793.16707 1642.00000 1.03629
71.45000 793.09061 1687.66700 1.00897
71.46000 792.95920 1698.00000 1.05449
71.47000 792.92109 1691.66700 1.02863
71.48000 792.81249 1718.33300 1.02477
71.49000 792.71018 1703.00000 1.02549
71.50000 792.62169 1741.00000 0.99094
71.51000 792.57100 1721.33300 1.00860
71.52000 792.50497 1779.33300 0.96345
71.53000 792.40771 1706.33300 1.01496
71.54000 792.31162 1728.00000 0.99123
71.55000 792.23380 1756.66700 0.98449
71.56000 792.14857 1752.00000 0.98564
71.57000 792.05617 1778.00000 0.97722
71.58000 791.96683 1757.66700 1.00803
71.59000 791.87774 1756.33300 1.00324
71.60000 791.81105 1733.66700 1.03612
71.61000 791.72422 1695.66700 1.01721
71.62000 791.64015 1709.33300 1.03346
71.63000 791.52995 1716.00000 1.02239
71.64000 791.48772 1688.00000 1.04604
71.65000 791.33460 1610.00000 1.09955
71.66000 791.27495 1601.33300 1.10324
71.67000 791.14878 1568.66700 1.14474
71.68000 791.02414 1520.33300 1.17013
71.69000 790.91065 1551.00000 1.16596
71.70000 790.73534 1525.66700 1.19431
71.71000 790.66949 1527.66700 1.18178
71.72000 790.50049 1544.00000 1.17013
71.73000 790.35779 1521.33300 1.18053
71.74000 790.27157 1622.33300 1.17560
71.75000 790.17930 1555.33300 1.17246
71.76000 790.01748 1662.66700 1.07912
71.77000 789.87795 1736.33300 1.09962
71.78000 789.75136 1761.00000 1.07071
71.79000 789.69918 1840.66700 1.02164
71.80000 789.62209 1818.00000 1.04324
71.81000 789.49912 1813.33300 0.99799
