# Data taken with Python For the Lab (MC version)
# Scan folder: Nir_run_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 15uW int time) 
# Fourth col: Spectral width in nm 
125.75000 502.27589 31949.00000 0.54212
126.00000 501.56371 32633.00000 0.54320
126.25000 500.85721 34337.66800 0.54195
126.50000 500.16031 33869.66800 0.54121
126.75000 499.45038 33402.00000 0.54623
127.00000 498.74784 33431.33200 0.54709
127.25000 498.04935 33525.33200 0.54314
127.50000 497.36274 34467.00000 0.53769
127.75000 496.66696 34068.00000 0.53727
128.00000 495.98122 31891.66600 0.53801
128.25000 495.29431 31990.66600 0.53359
128.50000 494.61235 30697.66600 0.53423
128.75000 493.93327 29660.33400 0.53291
129.00000 493.24978 28585.33400 0.52913
129.25000 492.57785 28398.66600 0.52649
129.50000 491.90568 28220.00000 0.53258
129.75000 491.23094 26419.66600 0.53068
130.00000 490.57155 26748.33400 0.52681
130.25000 489.91248 26886.00000 0.52608
130.50000 489.25559 25739.00000 0.52314
130.75000 488.60385 25081.33400 0.52223
131.00000 487.94369 24232.66600 0.52104
131.25000 487.29527 23434.00000 0.51993
131.50000 486.64644 23094.66600 0.52242
131.75000 486.00253 21008.66600 0.52220
132.00000 485.35478 20801.66600 0.52423
132.25000 484.71948 20574.66600 0.51979
132.50000 484.08358 18828.33400 0.52676
132.75000 483.44441 18384.33400 0.52553
133.00000 482.80779 18302.00000 0.52726
133.25000 482.18112 17963.00000 0.52487
133.50000 481.56316 17204.00000 0.52489
133.75000 480.93215 16997.33400 0.51871
134.00000 480.31026 16370.66700 0.52110
134.25000 479.69490 15955.33300 0.52136
134.50000 479.07323 15925.66700 0.52317
134.75000 478.46103 15699.00000 0.52572
135.00000 477.85299 15121.00000 0.53089
135.25000 477.24521 14264.33300 0.52310
135.50000 476.62998 14144.00000 0.51772
135.75000 476.03163 13076.00000 0.51823
136.00000 475.42599 13199.66700 0.52376
136.25000 474.83442 11997.33300 0.52151
136.50000 474.24785 10509.66700 0.52177
136.75000 473.65043 9855.00000 0.51420
137.00000 473.05130 9072.00000 0.51980
137.25000 472.45802 8578.00000 0.52654
137.50000 471.87881 7829.00000 0.52074
137.75000 471.29316 7186.33300 0.51580
138.00000 470.70679 6353.66700 0.50987
138.25000 470.13851 6101.33300 0.51617
138.50000 469.56509 5225.66700 0.51997
138.75000 468.99616 4763.33300 0.50717
139.00000 468.41009 4025.33300 0.52452
139.25000 467.85442 3759.66700 0.53091
139.50000 467.29201 3269.66700 0.50811
139.75000 466.72900 3032.66700 0.50193
140.00000 466.16803 2585.00000 0.52459
140.25000 465.61217 2293.66700 0.52257
140.50000 465.05331 1927.33300 0.52839
140.75000 464.48353 1730.66700 0.50949
141.00000 463.97460 1545.00000 0.52091
141.25000 463.37583 1376.66700 0.51427
141.50000 462.84301 1219.66700 0.53526
141.75000 462.35275 1050.00000 0.52249
142.00000 461.79929 915.66700 0.52377
142.25000 461.31287 830.00000 0.54160
142.50000 460.66501 769.00000 0.46508
142.75000 460.12114 711.66700 -0.57953
143.00000 459.64884 674.66700 0.44942
143.25000 459.11597 640.00000 -0.56323
143.50000 458.53576 609.33300 0.49320
143.75000 458.04911 557.00000 0.56542
144.00000 457.66855 533.00000 0.41954
